,# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,season
219,2nd,Lonzo Ball,20.0,LAL,87.0,200.0,0.435,7.0,73.0,52.0,34.2,10.2,6.9,7.2,1.7,0.8,0.36,0.305,0.451,2.0,0.053,2018
220,2nd,John Collins,20.0,ATL,76.0,200.0,0.38,5.0,66.0,74.0,24.1,10.5,7.3,1.3,0.6,1.1,0.576,0.34,0.715,5.4,0.145,2018
221,2nd,Bogdan Bogdanović,25.0,SAC,75.0,200.0,0.375,6.0,63.0,78.0,27.9,11.8,2.9,3.3,0.9,0.2,0.446,0.392,0.84,2.9,0.064,2018
222,2nd,Josh Jackson,20.0,PHO,45.0,200.0,0.225,1.0,43.0,77.0,25.4,13.1,4.6,1.5,1.0,0.5,0.417,0.263,0.634,-0.7,-0.018,2018
224,ORV,Bam Adebayo,20.0,MIA,44.0,200.0,0.22,0.0,44.0,69.0,19.8,6.9,5.5,1.5,0.5,0.6,0.512,0.0,0.721,4.2,0.148,2018
225,ORV,De'Aaron Fox,20.0,SAC,34.0,200.0,0.17,0.0,34.0,73.0,27.8,11.6,2.8,4.4,1.0,0.3,0.412,0.307,0.723,-0.6,-0.014,2018
226,ORV,OG Anunoby,20.0,TOR,25.0,200.0,0.125,2.0,21.0,74.0,20.0,5.9,2.5,0.7,0.7,0.2,0.471,0.371,0.629,3.0,0.098,2018
227,ORV,Jarrett Allen,19.0,BRK,18.0,200.0,0.09,0.0,18.0,72.0,20.0,8.2,5.4,0.7,0.4,1.2,0.589,0.333,0.776,4.2,0.141,2018
228,ORV,Dillon Brooks,22.0,MEM,14.0,200.0,0.07,1.0,12.0,82.0,28.7,11.0,3.1,1.6,0.9,0.2,0.44,0.356,0.747,1.2,0.024,2018
229,ORV,Jordan Bell,23.0,GSW,5.0,200.0,0.025,0.0,5.0,57.0,14.2,4.6,3.6,1.8,0.6,1.0,0.627,0.0,0.682,2.9,0.174,2018
230,ORV,Royce O'Neale,24.0,UTA,4.0,200.0,0.02,0.0,4.0,69.0,16.7,5.0,3.4,1.4,0.5,0.2,0.423,0.356,0.803,2.4,0.099,2018
231,ORV,Miloš Teodosić,30.0,LAC,3.0,200.0,0.015,1.0,1.0,45.0,25.2,9.5,2.8,4.6,0.5,0.1,0.419,0.379,0.848,1.4,0.058,2018
232,ORV,Zach Collins,20.0,POR,3.0,200.0,0.015,0.0,3.0,66.0,15.8,4.4,3.3,0.8,0.3,0.5,0.398,0.31,0.643,0.6,0.03,2018
233,ORV,Luke Kennard,21.0,DET,1.0,200.0,0.005,0.0,1.0,73.0,20.0,7.6,2.4,1.7,0.6,0.2,0.443,0.415,0.855,2.6,0.085,2018
234,ORV,Frank Mason III,23.0,SAC,1.0,200.0,0.005,0.0,1.0,52.0,18.9,7.9,2.5,2.8,0.7,0.2,0.379,0.36,0.817,0.5,0.027,2018
235,ORV,Malik Monk,19.0,CHO,1.0,200.0,0.005,0.0,1.0,63.0,13.6,6.7,1.0,1.4,0.3,0.1,0.36,0.342,0.842,0.0,0.0,2018
236,ORV,Frank Ntilikina,19.0,NYK,1.0,200.0,0.005,0.0,1.0,78.0,21.9,5.9,2.3,3.2,0.8,0.2,0.364,0.318,0.721,-0.9,-0.026,2018
237,ORV,Semi Ojeleye,23.0,BOS,1.0,200.0,0.005,0.0,1.0,73.0,15.8,2.7,2.2,0.3,0.3,0.1,0.346,0.32,0.61,1.2,0.048,2018
238,ORV,Sindarius Thornwell,23.0,LAC,1.0,200.0,0.005,0.0,1.0,73.0,15.8,3.9,1.9,0.9,0.7,0.3,0.429,0.377,0.67,1.0,0.041,2018
239,1st,Luka Dončić,19.0,DAL,200.0,200.0,1.0,100.0,0.0,72.0,32.2,21.2,7.8,6.0,1.1,0.3,0.427,0.327,0.713,4.9,0.101,2019
240,1st,Trae Young,20.0,ATL,200.0,200.0,1.0,100.0,0.0,81.0,30.9,19.1,3.7,8.1,0.9,0.2,0.418,0.324,0.829,3.3,0.062,2019
241,1st,Deandre Ayton,20.0,PHO,195.0,200.0,0.975,95.0,5.0,71.0,30.7,16.3,10.3,1.8,0.9,0.9,0.585,0.0,0.746,5.8,0.128,2019
242,1st,Jaren Jackson Jr.,19.0,MEM,159.0,200.0,0.795,60.0,39.0,58.0,26.1,13.8,4.7,1.1,0.9,1.4,0.506,0.359,0.766,3.3,0.105,2019
243,1st,Marvin Bagley III,19.0,SAC,156.0,200.0,0.78,56.0,44.0,62.0,25.3,14.9,7.6,1.0,0.5,1.0,0.504,0.313,0.691,3.6,0.11,2019
245,2nd,Shai Gilgeous-Alexander,20.0,LAC,138.0,200.0,0.69,40.0,58.0,82.0,26.5,10.8,2.8,3.3,1.2,0.5,0.476,0.367,0.8,3.3,0.074,2019
246,2nd,Collin Sexton,20.0,CLE,132.0,200.0,0.66,39.0,54.0,82.0,31.8,16.7,2.9,3.0,0.5,0.1,0.43,0.402,0.839,-0.6,-0.011,2019
247,2nd,Mitchell Robinson,20.0,NYK,77.0,200.0,0.385,3.0,71.0,66.0,20.6,7.3,6.4,0.6,0.8,2.4,0.694,,0.6,6.1,0.217,2019
248,2nd,Kevin Huerter,20.0,ATL,45.0,200.0,0.225,1.0,43.0,75.0,27.3,9.7,3.3,2.9,0.9,0.3,0.419,0.385,0.732,1.5,0.034,2019
250,ORV,Mikal Bridges,22.0,PHO,31.0,200.0,0.155,1.0,29.0,82.0,29.5,8.3,3.2,2.1,1.6,0.5,0.43,0.335,0.805,2.9,0.058,2019
251,ORV,Kevin Knox,19.0,NYK,22.0,200.0,0.11,0.0,22.0,75.0,28.8,12.8,4.5,1.1,0.6,0.3,0.37,0.343,0.717,-1.3,-0.03,2019
252,ORV,Josh Okogie,20.0,MIN,12.0,200.0,0.06,1.0,10.0,74.0,23.7,7.7,2.9,1.2,1.2,0.4,0.386,0.279,0.728,1.2,0.034,2019
253,ORV,Jalen Brunson,22.0,DAL,10.0,200.0,0.05,0.0,10.0,73.0,21.8,9.3,2.3,3.2,0.5,0.1,0.467,0.348,0.725,2.6,0.077,2019
254,ORV,Allonzo Trier,23.0,NYK,10.0,200.0,0.05,0.0,10.0,64.0,22.8,10.9,3.1,1.9,0.4,0.2,0.448,0.394,0.803,0.9,0.03,2019
255,ORV,Rodions Kurucs,20.0,BRK,9.0,200.0,0.045,0.0,9.0,63.0,20.5,8.5,3.9,0.8,0.7,0.4,0.45,0.315,0.783,1.6,0.059,2019
256,ORV,Wendell Carter Jr.,19.0,CHI,7.0,200.0,0.035,0.0,7.0,44.0,25.2,10.3,7.0,1.8,0.6,1.3,0.485,0.188,0.795,1.9,0.08,2019
257,ORV,Miles Bridges,20.0,CHO,6.0,200.0,0.03,1.0,4.0,80.0,21.2,7.5,4.0,1.2,0.7,0.6,0.464,0.325,0.753,2.9,0.083,2019
258,ORV,Bruce Brown,22.0,DET,2.0,200.0,0.01,0.0,2.0,74.0,19.6,4.3,2.5,1.2,0.5,0.5,0.398,0.258,0.75,1.5,0.048,2019
259,ORV,Harry Giles,20.0,SAC,2.0,200.0,0.01,0.0,2.0,58.0,14.1,7.0,3.8,1.5,0.5,0.4,0.503,0.0,0.637,1.0,0.056,2019
260,ORV,Mo Bamba,20.0,ORL,1.0,200.0,0.005,0.0,1.0,47.0,16.3,6.2,5.0,0.8,0.3,1.4,0.481,0.3,0.587,1.7,0.106,2019
261,ORV,Aaron Holiday,22.0,IND,1.0,200.0,0.005,0.0,1.0,50.0,12.9,5.9,1.3,1.7,0.4,0.3,0.401,0.339,0.82,0.9,0.065,2019
262,1st,Ja Morant,20.0,MEM,200.0,200.0,1.0,100.0,0.0,67.0,31.0,17.8,3.9,7.3,0.9,0.3,0.477,0.335,0.776,3.8,0.088,2020
263,1st,Kendrick Nunn,24.0,MIA,197.0,200.0,0.985,98.0,1.0,67.0,29.3,15.3,2.7,3.3,0.8,0.2,0.439,0.35,0.85,2.0,0.049,2020
264,1st,Brandon Clarke,23.0,MEM,189.0,200.0,0.945,92.0,5.0,58.0,22.4,12.1,5.9,1.4,0.6,0.8,0.618,0.359,0.759,5.0,0.183,2020
265,1st,Zion Williamson,19.0,NOP,176.0,200.0,0.88,87.0,2.0,24.0,27.8,22.5,6.3,2.1,0.7,0.4,0.583,0.429,0.64,2.0,0.141,2020
266,1st,Eric Paschall,23.0,GSW,116.0,200.0,0.58,28.0,60.0,60.0,27.6,14.0,4.6,2.1,0.5,0.2,0.497,0.287,0.774,2.1,0.062,2020
268,2nd,Tyler Herro,20.0,MIA,115.0,200.0,0.575,23.0,69.0,55.0,27.4,13.5,4.1,2.2,0.6,0.2,0.428,0.389,0.87,1.6,0.05,2020
269,2nd,Terence Davis,22.0,TOR,96.0,200.0,0.48,30.0,36.0,72.0,16.8,7.5,3.3,1.6,0.5,0.2,0.456,0.388,0.864,3.1,0.122,2020
270,2nd,Coby White,19.0,CHI,90.0,200.0,0.45,8.0,74.0,65.0,25.8,13.2,3.5,2.7,0.8,0.1,0.394,0.354,0.791,0.9,0.026,2020
271,2nd,P.J. Washington,21.0,CHO,88.0,200.0,0.44,8.0,72.0,58.0,30.3,12.2,5.4,2.1,0.9,0.8,0.455,0.374,0.647,2.0,0.054,2020
272,2nd,Rui Hachimura,21.0,WAS,74.0,200.0,0.37,10.0,54.0,48.0,30.1,13.5,6.1,1.8,0.8,0.2,0.466,0.287,0.829,1.8,0.06,2020
274,ORV,RJ Barrett,19.0,NYK,61.0,200.0,0.305,10.0,41.0,56.0,30.4,14.3,5.0,2.6,1.0,0.3,0.402,0.32,0.614,-0.5,-0.015,2020
275,ORV,Matisse Thybulle,22.0,PHI,55.0,200.0,0.275,6.0,43.0,65.0,19.8,4.7,1.6,1.2,1.4,0.7,0.423,0.357,0.61,2.3,0.086,2020
276,ORV,Darius Garland,20.0,CLE,14.0,200.0,0.07,0.0,14.0,59.0,30.9,12.3,1.9,3.9,0.7,0.1,0.401,0.355,0.875,-1.3,-0.034,2020
277,ORV,De'Andre Hunter,22.0,ATL,11.0,200.0,0.055,0.0,11.0,63.0,32.0,12.3,4.5,1.8,0.7,0.3,0.41,0.355,0.764,0.1,0.002,2020
278,ORV,Michael Porter Jr.,21.0,DEN,9.0,200.0,0.045,0.0,9.0,55.0,16.4,9.3,4.7,0.8,0.5,0.5,0.509,0.422,0.833,2.9,0.154,2020
279,ORV,Jaxson Hayes,19.0,NOP,5.0,200.0,0.025,0.0,5.0,64.0,16.9,7.4,4.0,0.9,0.4,0.9,0.672,0.25,0.647,3.9,0.171,2020
280,ORV,Cameron Johnson,23.0,PHO,3.0,200.0,0.015,0.0,3.0,57.0,22.0,8.8,3.3,1.2,0.6,0.4,0.435,0.39,0.807,2.7,0.102,2020
281,ORV,Cody Martin,24.0,CHO,1.0,200.0,0.005,0.0,1.0,48.0,18.8,5.0,3.3,2.0,0.8,0.2,0.43,0.234,0.646,1.0,0.052,2020
282,1st,LaMelo Ball,19.0,CHO,198.0,198.0,1.0,99.0,0.0,51.0,28.8,15.7,5.9,6.1,1.6,0.4,0.436,0.352,0.758,2.8,0.093,2021
283,1st,Anthony Edwards,19.0,MIN,198.0,198.0,1.0,99.0,0.0,72.0,32.1,19.3,4.7,2.9,1.1,0.5,0.417,0.329,0.776,0.8,0.017,2021
284,1st,Tyrese Haliburton,20.0,SAC,197.0,198.0,0.995,98.0,1.0,58.0,30.1,13.0,3.0,5.3,1.3,0.5,0.472,0.409,0.857,3.5,0.096,2021
285,1st,Saddiq Bey,21.0,DET,162.0,198.0,0.818,63.0,36.0,70.0,27.3,12.2,4.5,1.4,0.7,0.2,0.404,0.38,0.844,3.3,0.082,2021
286,1st,Jae'Sean Tate,25.0,HOU,154.0,198.0,0.778,57.0,40.0,70.0,29.2,11.3,5.3,2.5,1.2,0.5,0.506,0.308,0.694,3.8,0.088,2021
288,2nd,Immanuel Quickley,21.0,NYK,148.0,198.0,0.747,51.0,46.0,64.0,19.4,11.4,2.1,2.0,0.5,0.2,0.395,0.389,0.891,3.2,0.125,2021
289,2nd,Desmond Bane,22.0,MEM,88.0,198.0,0.444,9.0,70.0,68.0,22.3,9.2,3.1,1.7,0.6,0.2,0.469,0.432,0.816,2.9,0.093,2021
290,2nd,Isaiah Stewart,19.0,DET,71.0,198.0,0.359,8.0,55.0,68.0,21.4,7.9,6.7,0.9,0.6,1.3,0.553,0.333,0.696,4.0,0.132,2021
291,2nd,Isaac Okoro,20.0,CLE,53.0,198.0,0.268,1.0,51.0,67.0,32.4,9.6,3.1,1.9,0.9,0.4,0.42,0.29,0.726,0.9,0.02,2021
292,2nd,Patrick Williams,19.0,CHI,50.0,198.0,0.253,2.0,46.0,71.0,27.9,9.2,4.6,1.4,0.9,0.6,0.483,0.391,0.728,2.5,0.06,2021
294,ORV,Facundo Campazzo,29.0,DEN,42.0,198.0,0.212,3.0,36.0,65.0,21.9,6.1,2.1,3.6,1.2,0.2,0.381,0.352,0.879,3.1,0.105,2021
295,ORV,Cole Anthony,20.0,ORL,40.0,198.0,0.202,1.0,38.0,47.0,27.1,12.9,4.7,4.1,0.6,0.4,0.397,0.337,0.832,0.0,-0.001,2021
296,ORV,James Wiseman,19.0,GSW,24.0,198.0,0.121,3.0,18.0,39.0,21.4,11.5,5.8,0.7,0.3,0.9,0.519,0.316,0.628,0.7,0.042,2021
297,ORV,Payton Pritchard,23.0,BOS,20.0,198.0,0.101,0.0,20.0,66.0,19.2,7.7,2.4,1.8,0.6,0.1,0.44,0.411,0.889,2.5,0.095,2021
298,ORV,Jaden McDaniels,20.0,MIN,15.0,198.0,0.076,1.0,13.0,63.0,24.0,6.8,3.7,1.1,0.6,1.0,0.447,0.364,0.6,1.4,0.046,2021
299,ORV,Tyrese Maxey,20.0,PHI,9.0,198.0,0.045,0.0,9.0,61.0,15.3,8.0,1.7,2.0,0.4,0.2,0.462,0.301,0.871,1.9,0.099,2021
300,ORV,Théo Maledon,19.0,OKC,5.0,198.0,0.025,0.0,5.0,65.0,27.4,10.1,3.2,3.5,0.9,0.2,0.368,0.335,0.748,-0.8,-0.021,2021
301,ORV,Xavier Tillman Sr.,22.0,MEM,4.0,198.0,0.02,0.0,4.0,59.0,18.4,6.6,4.3,1.3,0.7,0.6,0.559,0.338,0.642,2.9,0.127,2021
302,ORV,KJ Martin,20.0,HOU,3.0,198.0,0.015,0.0,3.0,45.0,23.7,9.3,5.4,1.1,0.7,0.9,0.509,0.365,0.714,2.2,0.099,2021
303,ORV,Chuma Okeke,22.0,ORL,2.0,198.0,0.01,0.0,2.0,45.0,25.2,7.8,4.0,2.2,1.1,0.5,0.417,0.348,0.75,1.3,0.056,2021
304,ORV,Aleksej Pokusevski,19.0,OKC,1.0,198.0,0.005,0.0,1.0,45.0,24.2,8.2,4.7,2.2,0.4,0.9,0.341,0.28,0.738,-1.9,-0.084,2021
305,ORV,Devin Vassell,20.0,SAS,1.0,198.0,0.005,0.0,1.0,62.0,17.0,5.5,2.8,0.9,0.7,0.3,0.406,0.347,0.843,1.5,0.069,2021
306,1st,Scottie Barnes,20.0,TOR,200.0,200.0,1.0,100.0,0.0,74.0,35.4,15.3,7.5,3.5,1.1,0.7,0.492,0.301,0.735,6.6,0.122,2022
307,1st,Cade Cunningham,20.0,DET,200.0,200.0,1.0,100.0,0.0,64.0,32.6,17.4,5.5,5.6,1.2,0.7,0.416,0.314,0.845,-0.5,-0.011,2022
308,1st,Evan Mobley,20.0,CLE,200.0,200.0,1.0,100.0,0.0,69.0,33.8,15.0,8.3,2.5,0.8,1.7,0.508,0.25,0.663,5.2,0.107,2022
309,1st,Franz Wagner,20.0,ORL,183.0,200.0,0.915,84.0,15.0,79.0,30.7,15.2,4.5,2.9,0.9,0.4,0.468,0.354,0.863,4.0,0.079,2022
310,1st,Jalen Green,19.0,HOU,158.0,200.0,0.79,58.0,42.0,67.0,31.9,17.3,3.4,2.6,0.7,0.3,0.426,0.343,0.797,0.7,0.015,2022
312,2nd,Herbert Jones,23.0,NOP,123.0,200.0,0.615,32.0,59.0,78.0,29.9,9.5,3.8,2.1,1.7,0.8,0.476,0.337,0.84,4.6,0.096,2022
313,2nd,Josh Giddey,19.0,OKC,122.0,200.0,0.61,24.0,74.0,54.0,31.5,12.5,7.8,6.4,0.9,0.4,0.419,0.263,0.709,0.4,0.01,2022
314,2nd,Bones Hyland,21.0,DEN,81.0,200.0,0.405,0.0,81.0,69.0,19.0,10.1,2.7,2.8,0.6,0.3,0.403,0.366,0.856,2.4,0.088,2022
315,2nd,Ayo Dosunmu,22.0,CHI,75.0,200.0,0.375,2.0,71.0,77.0,27.4,8.8,2.8,3.3,0.8,0.4,0.52,0.376,0.679,3.0,0.069,2022
316,2nd,Chris Duarte,24.0,IND,52.0,200.0,0.26,0.0,52.0,55.0,28.0,13.1,4.1,2.1,1.0,0.2,0.432,0.369,0.804,0.9,0.029,2022
318,ORV,Jonathan Kuminga,19.0,GSW,47.0,200.0,0.235,0.0,47.0,70.0,16.9,9.3,3.3,0.9,0.4,0.3,0.513,0.336,0.684,3.0,0.123,2022
319,ORV,Davion Mitchell,23.0,SAC,28.0,200.0,0.14,0.0,28.0,75.0,27.7,11.5,2.2,4.2,0.7,0.3,0.418,0.316,0.659,0.1,0.003,2022
320,ORV,Alperen Sengun,19.0,HOU,13.0,200.0,0.065,0.0,13.0,72.0,20.7,9.6,5.5,2.6,0.8,0.9,0.474,0.248,0.711,2.1,0.068,2022
321,ORV,Jalen Suggs,20.0,ORL,6.0,200.0,0.03,0.0,6.0,48.0,27.2,11.8,3.6,4.4,1.2,0.4,0.361,0.214,0.773,-1.6,-0.06,2022
322,ORV,Ziaire Williams,20.0,MEM,5.0,200.0,0.025,0.0,5.0,62.0,21.7,8.1,2.1,1.0,0.6,0.2,0.45,0.314,0.782,2.2,0.08,2022
323,ORV,Jose Alvarado,23.0,NOP,2.0,200.0,0.01,0.0,2.0,54.0,15.4,6.1,1.9,2.8,1.3,0.1,0.446,0.291,0.679,2.1,0.121,2022
324,ORV,Austin Reaves,23.0,LAL,2.0,200.0,0.01,0.0,2.0,61.0,23.2,7.3,3.2,1.8,0.5,0.3,0.459,0.317,0.839,2.9,0.097,2022
325,ORV,Josh Christopher,20.0,HOU,1.0,200.0,0.005,0.0,1.0,74.0,18.0,7.9,2.5,2.0,0.9,0.2,0.448,0.296,0.735,0.3,0.01,2022
326,ORV,Trey Murphy III,21.0,NOP,1.0,200.0,0.005,0.0,1.0,62.0,13.9,5.4,2.4,0.6,0.4,0.1,0.394,0.382,0.882,1.9,0.104,2022
327,ORV,Cam Thomas,20.0,BRK,1.0,200.0,0.005,0.0,1.0,67.0,17.6,8.5,2.4,1.2,0.5,0.1,0.433,0.27,0.829,0.8,0.033,2022
328,1st,Paolo Banchero,20.0,ORL,200.0,200.0,1.0,100.0,0.0,72.0,33.8,20.0,6.9,3.7,0.8,0.5,0.427,0.298,0.738,2.4,0.047,2023
329,1st,Jalen Williams,21.0,OKC,199.0,200.0,0.995,99.0,1.0,75.0,30.3,14.1,4.5,3.3,1.4,0.5,0.521,0.356,0.812,5.6,0.119,2023
330,1st,Walker Kessler,21.0,UTA,195.0,200.0,0.975,95.0,5.0,74.0,23.0,9.2,8.4,0.9,0.4,2.3,0.72,0.333,0.516,7.1,0.2,2023
331,1st,Keegan Murray,22.0,SAC,185.0,200.0,0.925,88.0,9.0,80.0,29.8,12.2,4.6,1.2,0.8,0.5,0.453,0.411,0.765,4.3,0.087,2023
332,1st,Bennedict Mathurin,20.0,IND,170.0,200.0,0.85,71.0,28.0,78.0,28.5,16.7,4.1,1.5,0.6,0.2,0.434,0.323,0.828,1.8,0.038,2023
334,2nd,Jaden Ivey,20.0,DET,142.0,200.0,0.71,43.0,56.0,74.0,31.1,16.3,3.9,5.2,0.8,0.2,0.416,0.343,0.747,0.0,-0.001,2023
335,2nd,Jalen Duren,19.0,DET,85.0,200.0,0.425,0.0,85.0,67.0,24.9,9.1,8.9,1.1,0.7,0.9,0.648,0.0,0.611,4.5,0.129,2023
336,2nd,Jabari Smith Jr.,19.0,HOU,72.0,200.0,0.36,1.0,70.0,79.0,31.0,12.8,7.2,1.3,0.5,0.9,0.408,0.307,0.786,1.9,0.037,2023
337,2nd,Jeremy Sochan,19.0,SAS,66.0,200.0,0.33,0.0,66.0,56.0,26.0,11.0,5.3,2.5,0.8,0.4,0.453,0.246,0.698,0.2,0.005,2023
338,2nd,Tari Eason,21.0,HOU,47.0,200.0,0.235,2.0,43.0,82.0,21.5,9.3,6.0,1.1,1.2,0.6,0.448,0.343,0.752,2.6,0.07,2023
340,ORV,Andrew Nembhard,23.0,IND,46.0,200.0,0.23,0.0,46.0,75.0,27.6,9.5,2.7,4.5,0.9,0.2,0.441,0.35,0.79,1.2,0.029,2023
341,ORV,Shaedon Sharpe,19.0,POR,36.0,200.0,0.18,0.0,36.0,80.0,22.2,9.9,3.0,1.2,0.5,0.3,0.472,0.36,0.714,1.2,0.032,2023
342,ORV,AJ Griffin,19.0,ATL,26.0,200.0,0.13,0.0,26.0,72.0,19.5,8.9,2.1,1.0,0.6,0.2,0.465,0.39,0.894,2.2,0.075,2023
343,ORV,Christian Braun,21.0,DEN,12.0,200.0,0.06,0.0,12.0,76.0,15.5,4.7,2.4,0.8,0.5,0.2,0.495,0.354,0.625,1.9,0.079,2023
344,ORV,Jaylin Williams,20.0,OKC,7.0,200.0,0.035,1.0,5.0,49.0,18.7,5.9,4.9,1.6,0.6,0.2,0.436,0.407,0.704,1.9,0.099,2023
345,ORV,Jaden Hardy,20.0,DAL,4.0,200.0,0.02,0.0,4.0,48.0,14.8,8.8,1.9,1.4,0.4,0.1,0.438,0.404,0.823,0.7,0.048,2023
346,ORV,Mark Williams,21.0,CHO,2.0,200.0,0.01,0.0,2.0,43.0,19.3,9.0,7.1,0.4,0.7,1.0,0.637,,0.691,2.8,0.163,2023
347,ORV,MarJon Beauchamp,22.0,MIL,1.0,200.0,0.005,0.0,1.0,52.0,13.5,5.1,2.2,0.7,0.4,0.1,0.395,0.331,0.73,0.4,0.027,2023
348,ORV,Malaki Branham,19.0,SAS,0.0,200.0,0.0,0.0,3.0,66.0,23.5,10.2,2.7,1.9,0.5,0.1,0.44,0.302,0.829,-0.1,-0.004,2023
349,ORV,Dyson Daniels,19.0,NOP,0.0,200.0,0.0,0.0,2.0,59.0,17.7,3.8,3.2,2.3,0.7,0.2,0.418,0.314,0.65,1.3,0.061,2023
350,1st,Chet Holmgren,21.0,OKC,198.0,198.0,1.0,99.0,0.0,82.0,29.4,16.5,7.9,2.4,0.6,2.3,0.53,0.37,0.793,8.9,0.178,2024
351,1st,Victor Wembanyama,20.0,SAS,198.0,198.0,1.0,99.0,0.0,71.0,29.7,21.4,10.6,3.9,1.2,3.6,0.465,0.325,0.796,3.7,0.085,2024
352,1st,Brandon Miller,21.0,CHO,195.0,198.0,0.985,97.0,1.0,74.0,32.2,17.3,4.3,2.4,0.9,0.6,0.44,0.373,0.827,0.8,0.015,2024
353,1st,Jaime Jaquez Jr.,22.0,MIA,188.0,198.0,0.949,89.0,10.0,75.0,28.2,11.9,3.8,2.6,1.0,0.3,0.489,0.322,0.811,4.0,0.092,2024
354,1st,Brandin Podziemski,20.0,GSW,161.0,198.0,0.813,64.0,33.0,74.0,26.6,9.2,5.8,3.7,0.8,0.2,0.454,0.385,0.633,4.1,0.1,2024
356,2nd,Dereck Lively II,19.0,DAL,119.0,198.0,0.601,26.0,67.0,55.0,23.5,8.8,6.9,1.1,0.7,1.4,0.747,0.0,0.506,4.9,0.183,2024
357,2nd,Amen Thompson,21.0,HOU,100.0,198.0,0.505,10.0,80.0,62.0,22.4,9.5,6.6,2.6,1.3,0.6,0.536,0.138,0.684,4.3,0.149,2024
358,2nd,Keyonte George,20.0,UTA,77.0,198.0,0.389,3.0,71.0,75.0,27.0,13.0,2.8,4.4,0.5,0.1,0.391,0.334,0.848,-0.3,-0.008,2024
359,2nd,Cason Wallace,20.0,OKC,67.0,198.0,0.338,2.0,63.0,82.0,20.6,6.8,2.3,1.5,0.9,0.5,0.491,0.419,0.784,4.0,0.115,2024
360,2nd,GG Jackson II,19.0,MEM,43.0,198.0,0.217,5.0,33.0,48.0,25.7,14.6,4.1,1.2,0.6,0.5,0.428,0.357,0.752,1.2,0.048,2024
362,ORV,Trayce Jackson-Davis,23.0,GSW,42.0,198.0,0.212,0.0,42.0,68.0,16.6,7.9,5.0,1.2,0.4,1.1,0.702,0.0,0.561,4.8,0.205,2024
363,ORV,Ausar Thompson,21.0,DET,35.0,198.0,0.177,0.0,35.0,63.0,25.1,8.8,6.4,1.9,1.1,0.9,0.483,0.186,0.597,1.8,0.053,2024
364,ORV,Scoot Henderson,19.0,POR,33.0,198.0,0.167,1.0,31.0,62.0,28.5,14.0,3.1,5.4,0.8,0.2,0.385,0.325,0.819,-1.7,-0.045,2024
365,ORV,Bilal Coulibaly,19.0,WAS,14.0,198.0,0.071,0.0,14.0,63.0,27.2,8.4,4.1,1.7,0.9,0.8,0.435,0.346,0.702,0.4,0.013,2024
366,ORV,Gradey Dick,20.0,TOR,3.0,198.0,0.015,0.0,3.0,60.0,21.1,8.5,2.2,1.1,0.6,0.0,0.425,0.365,0.863,0.3,0.01,2024
367,ORV,Cam Whitmore,19.0,HOU,3.0,198.0,0.015,0.0,3.0,47.0,18.7,12.3,3.8,0.7,0.6,0.4,0.454,0.359,0.679,1.5,0.082,2024
368,ORV,Toumani Camara,23.0,POR,2.0,198.0,0.01,0.0,2.0,70.0,24.8,7.5,4.9,1.2,0.9,0.5,0.45,0.337,0.758,2.0,0.055,2024
369,ORV,Jordan Hawkins,21.0,NOP,2.0,198.0,0.01,0.0,2.0,67.0,17.3,7.8,2.2,1.0,0.3,0.1,0.382,0.366,0.838,1.3,0.053,2024
370,ORV,Duop Reath,27.0,POR,2.0,198.0,0.01,0.0,2.0,68.0,17.9,9.1,3.7,1.0,0.5,0.6,0.461,0.359,0.742,2.4,0.095,2024
371,ORV,Anthony Black,20.0,ORL,1.0,198.0,0.005,0.0,1.0,69.0,16.9,4.6,2.0,1.3,0.5,0.3,0.466,0.394,0.613,1.6,0.067,2024
372,ORV,Marcus Sasser,23.0,DET,1.0,198.0,0.005,0.0,1.0,71.0,19.0,8.3,1.8,3.3,0.6,0.2,0.428,0.375,0.879,0.9,0.033,2024
